rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1540963646621249549,,0,,1540963646,178006683,'',,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1540963646621249549,,1,,1540963646,530255718,'',,,0.00598003296182,-0.00114704610314,-0.0199137032032,,-0.000800254875795,-0.000639898473229,0.000248416958668,0.999999448657
1540963647454006538,,2,,1540963647,131253724,'',,,0.00812177173793,-0.00212921155617,-0.0079801119864,,-6.74943424339e-05,-0.000887538442508,0.000745550128874,0.999999321997
1540963647936728944,,3,,1540963647,676055591,'',,,0.0149845527485,-0.00135117419995,-0.0143654653803,,-4.65617855275e-05,-0.000827970840208,0.000281566896371,0.999999597669
1540963648382013617,,4,,1540963648,181366259,'',,,0.0153586408123,0.00036617348087,-0.0162713620812,,-0.000210826927262,-0.00137681648716,0.000598794711023,0.99999885261
1540963648914911085,,5,,1540963648,726057763,'',,,0.102294705808,-0.0159520357847,-0.0198557730764,,-0.000186911780592,-0.00240288887673,0.00046186058566,0.99999698251
1540963649506466717,,6,,1540963649,222665979,'',,,0.330441623926,-0.020383676514,-0.0271355155855,,-0.000205961351485,-0.00350682062203,-0.00101547437098,0.999993301906
1540963649982569097,,7,,1540963649,768175947,'',,,0.75438451767,-0.0287040285766,-0.0313672162592,,-0.000766020467729,-0.00342063146255,-0.00640551527511,0.999973334017
1540963650485882866,,8,,1540963650,272227436,'',,,1.28331053257,-0.0504252277315,-0.0466136336327,,0.000168903104205,-0.0037618257812,-0.0137766693412,0.999898018703
1540963651204088152,,9,,1540963650,817270729,'',,,2.04076814651,-0.103629432619,-0.0560166761279,,0.000161876285321,-0.00448806798738,-0.0224832111373,0.999737123866
1540963651635980918,,10,,1540963651,362090760,'',,,2.88676023483,-0.170448675752,-0.0632706657052,,0.00034495674079,-0.00104863054774,-0.0311803820861,0.999513157413
1540963652099166469,,11,,1540963651,867955589,'',,,3.69414329529,-0.252513110638,-0.0734180063009,,0.00197098554362,0.00275726614859,-0.0383964436691,0.999256826455
1540963652634548025,,12,,1540963652,412937373,'',,,4.63880252838,-0.356879740953,-0.0907288938761,,0.00318094367141,0.00631212580731,-0.0425785114002,0.999068109105
1540963653250510308,,13,,1540963652,958450008,'',,,5.62358903885,-0.469345599413,-0.114504940808,,0.00308354678356,0.00688434849324,-0.0437207673833,0.999015300938
1540963653701491365,,14,,1540963653,469079965,'',,,6.55737876892,-0.573041319847,-0.156074300408,,0.00405076427187,0.00504399593047,-0.0394016815363,0.999202514588
1540963654307867300,,15,,1540963654,15846809,'',,,7.5979385376,-0.680048823357,-0.188118025661,,0.00631153330059,0.00320163290136,-0.0294786897232,0.99954035
1540963654754650009,,16,,1540963654,560720331,'',,,8.69643211365,-0.751950740814,-0.214464426041,,0.00593575277851,0.00247614696986,-0.0107300040434,0.99992174349
1540963655337559229,,17,,1540963655,105231669,'',,,9.84383010864,-0.783925533295,-0.241225197911,,0.0227371240449,0.0157543065154,0.0169619374289,0.999473410777
1540963655943842904,,18,,1540963655,657213883,'',,,11.1038551331,-0.742118000984,-0.290937542915,,0.0198921405346,0.0365151881061,0.0475498643555,0.998002986354
1540963656395270469,,19,,1540963656,162296883,'',,,12.4191761017,-0.626392364502,-0.343969494104,,0.021420856857,0.0426041261493,0.0906483508464,0.994740632963
1540963656964439957,,20,,1540963656,706983554,'',,,13.8688459396,-0.30851829052,-0.493415445089,,0.0215720573244,0.00775890451271,0.152203529791,0.988083265474
1540963657518127174,,21,,1540963657,252299886,'',,,15.2661542892,0.191386088729,-0.603218436241,,0.00264761438714,-0.0147827238936,0.227064788721,0.973763850203
1540963658176746943,,22,,1540963657,748542083,'',,,16.4152145386,0.85132920742,-0.595970869064,,0.00268225371362,-0.0150790780431,0.307850944655,0.951311316638
1540963658499504134,,23,,1540963658,293894540,'',,,17.4816265106,1.71905612946,-0.585544645786,,0.00146889213333,-0.0137209271686,0.390821688661,0.920362953979
1540963659212348640,,24,,1540963658,854140349,'',,,18.3838996887,2.73614692688,-0.574671208858,,0.00319944563486,-0.0140811447554,0.463087295137,0.886195049156
1540963659535351505,,25,,1540963659,342996518,'',,,19.0852832794,3.79915952682,-0.573600292206,,0.0024373449062,-0.0141664156253,0.517481950674,0.855573373432
1540963660105721532,,26,,1540963659,849035724,'',,,19.7011737823,4.9942240715,-0.573784589767,,0.00200314905942,-0.0137776459192,0.552632358085,0.833308837451
1540963660549321035,,27,,1540963660,395161823,'',,,20.3375110626,6.46242141724,-0.548826813698,,0.00165708408822,-0.0147653899096,0.574682080716,0.81824184384
1540963661127065093,,28,,1540963660,890752660,'',,,20.8747768402,7.88889837265,-0.54862433672,,0.00137595872813,-0.0148955334854,0.58256944147,0.812643254012
1540963661704031560,,29,,1540963661,450148343,'',,,21.4913959503,9.54005527496,-0.538812875748,,0.000431163991293,-0.0164965292024,0.586439729227,0.809824743657
1540963662166879202,,30,,1540963661,939189406,'',,,22.0568256378,11.1457700729,-0.529515743256,,-0.00223669577144,-0.0178384846753,0.587834647248,0.80878129802
1540963662662315315,,31,,1540963662,444097573,'',,,22.6624145508,12.8328285217,-0.51512336731,,-0.00447672965473,-0.018362225955,0.586836494248,0.809484847726
1540963663206420362,,32,,1540963662,892961866,'',,,23.2500209808,14.481962204,-0.517458260059,,-0.00505379852544,-0.0216932357792,0.586697173735,0.809500020545
1540963663508422801,,33,,1540963663,341731845,'',,,23.8423404694,16.195810318,-0.502815902233,,-0.00746742174304,-0.0240210369956,0.587331676659,0.808955328257
