rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1540963664071115146,,35,,1540963663,983919684,'',,,24.79621315,18.7962207794,-0.483056992292,,-0.00854777487355,-0.0244978073245,0.587405970173,0.808876402836
1540963664535529179,,36,,1540963664,382871535,'',,,25.3992385864,20.5082244873,-0.465243130922,,-0.0081679480366,-0.0218504856312,0.58758014673,0.808829669352
1540963664908996599,,37,,1540963664,784268937,'',,,26.0262889862,22.2341117859,-0.453594923019,,-0.00909872634058,-0.0223347934463,0.587561415859,0.808820126123
1540963665232896963,,38,,1540963665,136362029,'',,,26.5799674988,23.8082370758,-0.44732683897,,-0.00809828337975,-0.0234820210198,0.58716611761,0.809085286513
1540963665622486326,,39,,1540963665,528735498,'',,,27.2142162323,25.5950031281,-0.4277767241,,-0.00738476244715,-0.0240854702926,0.587433834742,0.808879990523
1540963665972555631,,40,,1540963665,875143441,'',,,27.7757472992,27.1929569244,-0.416854500771,,-0.00964782304385,-0.026538628114,0.58793361167,0.808416167399
1540963666322883987,,41,,1540963666,226320686,'',,,28.3371982574,28.8050079346,-0.395487189293,,-0.010162011773,-0.0285267584247,0.586974574064,0.809038809138
1540963666713810741,,42,,1540963666,578453791,'',,,28.8967266083,30.4208297729,-0.37403845787,,-0.0130459376375,-0.0316358204813,0.585026764435,0.810291741904
1540963667015998631,,43,,1540963666,915355156,'',,,29.5188865662,32.0503997803,-0.347682148218,,-0.0114855592606,-0.0304815063424,0.582981580443,0.811832144328
1540963667372430226,,44,,1540963667,267965552,'',,,30.0983047485,33.6822471619,-0.313444644213,,-0.0085382339203,-0.0320958576133,0.582139625665,0.812410248788
1540963667724422044,,45,,1540963667,620001720,'',,,30.7159729004,35.3190116882,-0.273287892342,,-0.00434493260058,-0.0303909427795,0.580953538741,0.813357519665
1540963668090187460,,46,,1540963667,964853368,'',,,31.3230934143,36.9511413574,-0.22483406961,,-0.000247535041399,-0.0261654139936,0.580639310432,0.81374030629
1540963668432691090,,47,,1540963668,317154032,'',,,31.9410095215,38.5877571106,-0.183195158839,,0.00503774240132,-0.0209370232775,0.580842081337,0.813731374593
1540963668825675388,,48,,1540963668,662251891,'',,,32.5609588623,40.2366828918,-0.142109885812,,0.00821603680444,-0.0177419625739,0.580862863362,0.813766574339
1540963669138397089,,49,,1540963669,14757466,'',,,33.1712646484,41.8724517822,-0.106380306184,,0.0110041300715,-0.0121521652997,0.580822288069,0.813865266509
1540963669495729946,,50,,1540963669,366956911,'',,,33.8039245605,43.5020751953,-0.0817195028067,,0.0128331424422,-0.00972135842662,0.583177686863,0.812185061379
1540963669830818695,,51,,1540963669,719701453,'',,,34.4024620056,45.1013031006,-0.0608870536089,,0.0144740883667,-0.00924269120568,0.584381575076,0.811297269261
1540963670244711000,,52,,1540963670,111820687,'',,,35.0411186218,46.7942352295,-0.0433516800404,,0.0183285816475,-0.0116426592058,0.585678054106,0.810252873978
1540963670679238586,,53,,1540963670,521227635,'',,,35.6002464294,48.3941192627,-0.0067560467869,,0.0210941730336,-0.0105292016584,0.587366855672,0.808977353974
1540963671083809629,,54,,1540963670,969862441,'',,,36.2109909058,50.0353775024,0.040106896311,,0.0219145564692,-0.00809912499575,0.589700725142,0.807283856241
1540963671517410418,,55,,1540963671,418576552,'',,,36.773815155,51.5863265991,0.0699736922979,,0.0234318194325,-0.00668844867429,0.591764214153,0.805742724653
1540963672021724173,,56,,1540963671,907542341,'',,,37.3198547363,53.2309989929,0.109462544322,,0.0226791929965,-0.00646109683183,0.591795431613,0.805743177749
1540963672542557226,,57,,1540963672,412791226,'',,,37.8528442383,54.7729530334,0.143209531903,,0.0207092211903,-0.00891954605498,0.589803845962,0.807231668068
1540963673072008176,,58,,1540963672,957310405,'',,,38.4968605042,56.4401245117,0.173657208681,,0.0183242714737,-0.010463497385,0.572176258239,0.81985916145
1540963673629529687,,59,,1540963673,502831354,'',,,39.2348937988,58.0863838196,0.20356926322,,0.0180145280351,-0.0111587282475,0.539336799341,0.841823488952
1540963674103524967,,60,,1540963673,999058718,'',,,40.0526390076,59.5125083923,0.222449272871,,0.0158920137343,-0.00790912581674,0.497450914188,0.8673104809
1540963674661943929,,61,,1540963674,496945663,'',,,41.0320587158,60.9231529236,0.245619595051,,0.014380458473,-0.00557638275223,0.448256783232,0.893771752846
1540963675177811699,,62,,1540963674,992693572,'',,,42.2338981628,62.2315292358,0.245248898864,,0.0191289310844,-0.00477925284559,0.388431384419,0.921266694532
1540963675570997538,,63,,1540963675,441785034,'',,,43.4884147644,63.3104057312,0.250445604324,,0.0158130277344,-0.00794850843511,0.329555259991,0.943970397452
1540963675993932361,,64,,1540963675,890853102,'',,,44.8928909302,64.2610244751,0.245085626841,,0.0153129099691,-0.00962543716581,0.273569119572,0.961682271382
1540963676493961672,,65,,1540963676,338996612,'',,,46.4655036926,65.040977478,0.251579940319,,0.00985164036501,-0.0101269204853,0.216407329657,0.976200914199
1540963676947827368,,66,,1540963676,787472112,'',,,48.0959358215,65.6357727051,0.257918298244,,0.00441868795395,-0.0107768598821,0.159096997663,0.987194239988
1540963677365569883,,67,,1540963677,236590267,'',,,49.77942276,66.0515213013,0.252252817154,,0.00287697972676,-0.00923173954276,0.106727575113,0.994241278449
1540963677797535503,,68,,1540963677,684985406,'',,,51.5012817383,66.298866272,0.257094740868,,0.0029526496885,-0.00949539718579,0.0638881612697,0.997907520576
1540963678264559854,,69,,1540963678,133426824,'',,,53.141872406,66.4130706787,0.255249381065,,0.00383122288496,-0.00880104776328,0.0312931501705,0.999464174602
1540963678797648668,,70,,1540963678,631579385,'',,,54.9508895874,66.4151229858,0.256477475166,,0.0071839755169,-0.00707508998472,0.00801739210162,0.999917034343
1540963679282250750,,71,,1540963679,142817392,'',,,56.6460914612,66.3866195679,0.251354813576,,0.0068126150395,-0.0241945770504,-0.000720423323278,0.999683806975
1540963679836930954,,72,,1540963679,688265310,'',,,58.4570159912,66.3283996582,0.24110019207,,0.00813316966442,-0.0221918510266,0.00129012846915,0.999719804013
1540963680373429715,,73,,1540963680,233390387,'',,,60.1194343567,66.320022583,0.304751217365,,0.0116514570154,-0.00187934472408,0.0145109341072,0.999825052515
1540963680848017306,,74,,1540963680,729964022,'',,,61.6575889587,66.3477706909,0.31116065383,,0.0014668164591,0.00645673822546,0.042160035619,0.999088922855
