rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,pose,position,x,y,z,orientation,x,y,z,w,covariance
1554544178621095887,,29,,1554544178,456238483,"""map""",,,,25.297952652,-0.883816361427,-0.15370798111,,0.030117701041,-0.00282507698621,-0.00646927770814,0.999521431552,"[0.3244051162006758, 0.006413619341368701, -0.012866874206970845, -0.0007124440632265794, -0.0028004233699619055, -0.001009308341888201, 0.00641361952818597, 0.3028906189557295, -0.003790929822122514, 0.0027730294172130664, 0.00024050060580113348, -0.009243997393608885, -0.012866874114714178, -0.003790929877650036, 0.14911150575809162, -0.0013307661725821334, 0.009617359651813205, -0.0007606753881265867, -0.0007124440588648786, 0.0027730294223598856, -0.001330766158942284, 0.0008487742092058721, 0.0001949290602981934, 1.2559331648674275e-05, -0.0028004233598176707, 0.00024050060242152411, 0.009617359661530583, 0.00019492905836636672, 0.0015499218405020817, -4.7158318416453725e-05, -0.0010093083489379519, -0.00924399737757574, -0.000760675386921178, 1.2559332578214986e-05, -4.715831800563236e-05, 0.0015222908719330984]"
1554544179143849147,,30,,1554544178,964904386,"""map""",,,,26.1793384552,-0.904651522636,-0.147789344192,,0.037492693602,-0.00123585052489,-0.00664436814819,0.999274042492,"[0.3486841902595081, 0.0009540233357026002, -0.01702543238830686, -0.0005113808315177105, -0.0029745962755748953, -0.000939197640634005, 0.0009540231525717113, 0.32231711704479843, -0.0018870034312290773, 0.002882131750773923, 2.3277466049469278e-05, -0.010412332815436869, -0.017025432359631366, -0.0018870034444063853, 0.15289409822714561, -0.0011981058689764833, 0.01007208241486954, -0.0009830484195764903, -0.0005113808335817254, 0.002882131757046569, -0.001198105866445239, 0.0008992660568557249, 0.0001954485307062529, 1.7687895169356845e-05, -0.0029745962723016963, 2.327746648432979e-05, 0.010072082414895876, 0.0001954485301638214, 0.0016169776490022425, -2.0519059354853627e-05, -0.0009391975975514775, -0.010412332799225548, -0.000983048424282688, 1.768789619463052e-05, -2.0519059665438786e-05, 0.0018103171090268113]"
1554544179703031998,,31,,1554544179,551576733,"""map""",,,,27.4244174957,-0.930224239826,-0.164172112942,,0.0329476545375,0.000777630360449,-0.00772802766567,0.999426901032,"[0.37790998538542386, 0.010439029883864616, -0.012294298414586935, -0.00042643998732076944, -0.002566420159577933, -0.0017897123779454071, 0.010439029922298506, 0.34058854053943866, -0.004174491919608042, 0.003168186043459608, -5.284375530118618e-05, -0.01053487648374777, -0.01229429841325646, -0.004174491889201122, 0.1475205241143849, -0.0016842906059717573, 0.009171476307402332, -0.0006539707241325374, -0.0004264399970825249, 0.003168186051437084, -0.0016842905824891313, 0.0008683418648675101, 0.00014060196324247655, -9.605094848966689e-06, -0.0025664201615685817, -5.284374879107421e-05, 0.009171476317829642, 0.00014060196026463245, 0.0014804123409552583, 9.873835746920843e-06, -0.0017897123830511274, -0.010534876466215672, -0.0006539707146035941, -9.605093876064092e-06, 9.873837413371705e-06, 0.0017967047457881995]"
1554544180230865307,,32,,1554544180,56889998,"""map""",,,,28.5317897797,-0.941959679127,-0.178974539042,,0.0346845164141,0.00166865047492,-0.00915568282233,0.999354981478,"[0.43808377480167987, 0.012905124383854792, -0.01469086379834253, -0.0005397245710827943, -0.0028864041909918404, -0.0029389892556912493, 0.012905124667442818, 0.3683244950287181, -0.007659730893469604, 0.003514212816034034, -5.067397879524067e-05, -0.011804795487696074, -0.014690863849541496, -0.0076597308269969995, 0.15186752163107994, -0.0013391663894685253, 0.009564678491774998, -0.0007465718102942651, -0.0005397245696244243, 0.0035142128240790442, -0.0013391663884226134, 0.0009003148326219779, 0.00019746305790494122, -2.0121659467557103e-05, -0.0028864041919520974, -5.0673966100251984e-05, 0.009564678496864753, 0.0001974630577413693, 0.0015509588489203278, -6.365330073733515e-06, -0.0029389892539040488, -0.011804795479077425, -0.0007465718041979728, -2.012165865567117e-05, -6.365328951903413e-06, 0.001890339050967265]"
1554544180785729506,,33,,1554544180,648859207,"""map""",,,,29.8606739044,-1.01682734489,-0.203272804618,,0.0349644482911,0.00805098123559,-0.00928627818593,0.999312984387,"[0.4420113180134577, 0.005796685881873553, -0.015576138775367484, -0.0005343521471186086, -0.0028096977646442246, -0.0021385490014594406, 0.005796685830992868, 0.3797535086892311, -0.0130359549593948, 0.0039054605763334787, -0.00037606240462942836, -0.011963531026702013, -0.015576138577911007, -0.013035955113437046, 0.15168317600777587, -0.0008072935926308324, 0.010337682189426385, -0.00045374902879185674, -0.0005343521560674809, 0.0039054605789793084, -0.000807293570027158, 0.0008777798542778782, 0.00025334432938986116, -4.832430827128044e-05, -0.0028096977453388825, -0.000376062421751696, 0.01033768220041286, 0.000253344325745338, 0.001721035353268722, 1.4410415967909498e-05, -0.0021385490085074196, -0.01196353102672859, -0.0004537490292095023, -4.8324308223246825e-05, 1.4410415858474282e-05, 0.0018624955179032813]"
1554544181421638653,,34,,1554544181,248986174,"""map""",,,,31.1923713684,-1.03642690182,-0.219782501459,,0.0326329462552,0.00304823239363,-0.0105273802808,0.999407316941,"[0.42391364610791626, -0.0010424919863224285, -0.015470539553437837, -0.00044668447304079814, -0.002767647539795889, -0.001055102521127849, -0.0010424919936212734, 0.3400011676853537, -0.014429268772270255, 0.003398930120562268, -0.00044087404093942764, -0.00976850082741658, -0.015470539494929339, -0.014429268814202444, 0.15089034070020807, -0.0013632415900008616, 0.009455648578874667, -0.00035828223830955896, -0.0004466844676818993, 0.0033989301132471023, -0.0013632415643959127, 0.0008634471510619511, 0.0002015802642369297, -6.128554526656202e-06, -0.0027676475241609007, -0.00044087405958986387, 0.00945564859479688, 0.00020158025989120112, 0.0015708663627983712, 2.9633281893577914e-05, -0.001055102522310803, -0.00976850082757442, -0.00035828223482223736, -6.128555242488586e-06, 2.9633281543547992e-05, 0.001665675711506692]"
1554544181906900759,,35,,1554544181,754423754,"""map""",,,,32.3020935059,-1.07878232002,-0.236734002829,,0.0330770962751,0.00216138302295,-0.0114435671679,0.999384966604,"[0.419492573180735, -0.006047936353979868, -0.013762519140783493, -0.00042846259324425266, -0.002635367926469625, -0.0001597361152345859, -0.006047936190785966, 0.3416405377428972, -0.011138563048057536, 0.003334879040335041, -0.0002996531466710708, -0.010660353579778166, -0.013762519008154846, -0.011138562912886524, 0.15730529656882852, -0.0018590649020168177, 0.009807223294237343, -0.0007252178966254231, -0.00042846259254686076, 0.0033348790339210355, -0.0018590649162403654, 0.0008900500716078645, 0.0001491167369581311, -6.68258975400932e-06, -0.0026353679150496823, -0.00029965313489398984, 0.009807223293249368, 0.0001491167385258405, 0.0015650502713327053, -1.008548774506022e-05, -0.00015973613655633571, -0.010660353571055001, -0.0007252178866370008, -6.6825900682637205e-06, -1.008548655042483e-05, 0.0018233062132637131]"
1554544182547147572,,36,,1554544182,346507054,"""map""",,,,33.6766052246,-1.12585866451,-0.249382138252,,0.0337155854032,-0.00307807598112,-0.0134921141542,0.999335664377,"[0.41313738151963586, 0.0010377188660128881, -0.018450075426299294, -0.00040420015552500267, -0.0029896420611767796, -0.0005967757486793916, 0.0010377188618155397, 0.35271695794524643, -0.014746245919991827, 0.003668024932818838, -0.00043463009216023336, -0.010035670801220456, -0.018450075542625354, -0.014746245916107225, 0.16794024752664757, -0.0015270434731666268, 0.01069371814913285, -0.000392593060413709, -0.00040420015317945486, 0.003668024935898835, -0.0015270434920008902, 0.0008926009507475745, 0.00019247172942641632, -1.2130334995942096e-05, -0.002989642073175652, -0.00043463008809617736, 0.010693718135500224, 0.00019247173211381856, 0.0016655594542405382, 2.6088088812843796e-05, -0.0005967757576597073, -0.010035670807730821, -0.00039259307220526846, -1.2130334837619715e-05, 2.6088087250952026e-05, 0.0017071782417844375]"
1554544183130158715,,37,,1554544182,943319082,"""map""",,,,35.1036529541,-1.19616293907,-0.24464289844,,0.0327986368875,-0.00156720397482,-0.0143725421986,0.999357411932,"[0.4094941574744279, -0.0008136616407434794, -0.02750797730052855, -0.00036426337300923155, -0.0037782174510100747, -0.0007650831731532042, -0.0008136612581955959, 0.3650838280019787, -0.01579465527899956, 0.0035439041668363755, -0.0007100539269214265, -0.012021054832388928, -0.027507977307647438, -0.01579465507120092, 0.1546313491475269, -0.0005481404007267488, 0.010552189852230706, -0.00048808986596392224, -0.0003642633716589151, 0.0035439041692837655, -0.000548140396331165, 0.0009035734044171074, 0.00022951387903856347, -1.6623164645433392e-05, -0.0037782174507695705, -0.0007100539069115206, 0.010552189856182923, 0.0002295138783079965, 0.0016864810086281781, 1.4479207391215315e-06, -0.0007650831674001513, -0.012021054830065346, -0.00048808985188129097, -1.662316420316348e-05, 1.4479223133165416e-06, 0.0019341763380707519]"
1554544183613724497,,38,,1554544183,436457174,"""map""",,,,36.4013748169,-1.23434340954,-0.265772730112,,0.0370186793863,-0.00313242651446,-0.00629655844076,0.999289826705,"[0.3571799601962719, -0.007586761068804991, -0.020888885511744695, -0.0005442189171447, -0.0034677096185081508, -0.00033415684767557454, -0.007586761066050552, 0.32662774928948923, -0.01942174328938647, 0.0032819625479122093, -0.0009764918491232442, -0.010214241706827496, -0.020888885660737443, -0.019421743497578872, 0.1600837356754271, -0.0009836058922436841, 0.010988673330790186, -0.00045159440628381094, -0.0005442189171312718, 0.003281962543015544, -0.000983605897275553, 0.0008581915043037806, 0.0002011864106700953, -4.757660135168651e-06, -0.003467709634344113, -0.0009764918728047169, 0.010988673322120762, 0.00020118641118743052, 0.0017489295520865663, 1.9170166287667666e-06, -0.0003341568380326857, -0.010214241699570784, -0.00045159443984661224, -4.7576611600777796e-06, 1.9170120781867615e-06, 0.0017389532355375284]"
